nation,player,position,club,league,nat_matches,nat_minutes,nat_xg_per_90,nat_shots_per_90,nat_key_passes_per_90,nat_prog_passes_per_90,nat_prog_carries_per_90,nat_pressures_per_90,club_minutes_2425,club_xg_per_90,club_xa_per_90,blended_xg90,found_in_understat,low_confidence
Ecuador,José Andrés Hurtado Cheme,,,,1,6,0.0,0.0,30.0,15.0,0.0,0.0,0,,,0.1482,False,True
Ecuador,Djorkaeff Neicer Reasco González,,,,1,28,0.0,0.0,9.64,3.21,0.0,6.43,0,,,0.142,False,True
Ecuador,Jackson Gabriel Porozo Vernaza,,,,2,103,0.0459,0.87,36.7,10.49,2.62,9.61,0,,,0.1322,False,True
Ecuador,Romario Andrés Ibarra Mina,D M S,Wolverhampton Wanderers,EPL,2,68,0.1808,2.65,21.18,5.29,5.29,15.88,1366,0.0785,0.0849,0.1086,True,True
Ecuador,Moisés Isaac Caicedo Corozo,,,,7,661,0.1024,0.82,45.48,14.7,3.54,14.43,0,,,0.1024,False,False
Ecuador,Carlos Armando Gruezo Arboleda,D M S,Brighton,EPL,5,179,0.0,0.0,27.65,12.07,0.5,12.57,2717,0.0955,0.0539,0.1015,True,True
Ecuador,Michael Steveen Estrada Martínez,D S,Everton,EPL,3,228,0.0973,1.18,16.97,5.92,0.79,14.21,1043,0.0972,0.0107,0.0972,True,False
Ecuador,Jeremy Leonel Sarmiento Morante,,,,7,398,0.0939,1.58,19.22,5.2,6.11,13.57,0,,,0.0939,False,False
Ecuador,Kevin José Rodríguez Cortez,,,,6,251,0.0929,2.15,13.27,0.72,2.15,19.36,0,,,0.0929,False,False
Ecuador,Felix Eduardo Torres Caicedo,,,,7,649,0.0855,0.83,46.87,22.19,3.74,6.24,0,,,0.0855,False,False
Ecuador,Pervis Josué Estupiñán Tenorio,,,,3,288,0.0844,0.62,58.44,19.06,4.69,11.25,0,,,0.0844,False,False
Ecuador,José Adoni Cifuentes Charcopa,D,Sevilla,La_liga,2,68,0.0334,1.32,56.91,19.85,2.65,19.85,2993,0.0179,0.0587,0.0652,True,True
Ecuador,Angelo Smit Preciado Quiñónez,,,,7,651,0.0401,1.24,37.33,14.65,1.8,12.03,0,,,0.0401,False,False
Ecuador,Gonzalo Jordy Plata Jiménez,,,,3,279,0.034,0.65,33.55,8.39,4.52,23.23,0,,,0.034,False,False
Ecuador,Alan Steven Franco Palma,,,,6,400,0.0275,0.68,26.1,6.75,0.45,11.7,0,,,0.0275,False,False
Ecuador,Piero Martín Hincapié Reyna,,,,7,659,0.001,0.14,50.12,19.39,2.87,12.15,0,,,0.001,False,False
Ecuador,Alexander Domínguez Carabalí,,,,4,398,0.0,0.0,23.52,16.73,0.9,0.0,0,,,0.0,False,False
Ecuador,Hernán Ismael Galíndez,,,,3,265,0.0,0.0,26.15,18.34,1.36,0.0,0,,,0.0,False,False
Ecuador,Jhegson Sebastián Méndez Carabalí,,,,2,188,0.0,0.0,67.5,17.71,0.0,13.4,0,,,0.0,False,False
Ecuador,Willian Joel Pacho Tenorio,,,,4,370,0.0,0.0,41.59,18.97,1.95,6.57,0,,,0.0,False,False
England,Harry Kane,F S,Bayern Munich,Bundesliga,12,1014,0.4779,2.66,17.93,6.92,1.6,10.83,2400,0.9314,0.2209,0.75,True,False
England,Ollie Watkins,F S,Aston Villa,EPL,3,65,0.3109,4.15,5.54,0.0,0.0,18.0,2666,0.629,0.1309,0.4448,True,True
England,Cole Palmer,M S,Chelsea,EPL,5,157,0.5275,2.29,44.71,14.33,6.88,10.89,3228,0.4398,0.3612,0.36,True,True
England,Philip Foden,F M S,Manchester City,EPL,4,269,0.4187,2.01,39.48,5.35,3.68,10.37,1770,0.3144,0.2737,0.3561,True,False
England,Jude Bellingham,M S,Real Madrid,La_liga,12,1115,0.1848,0.97,52.39,11.7,5.17,18.24,2510,0.4692,0.1544,0.3554,True,False
England,Bukayo Saka,F M S,Arsenal,EPL,11,916,0.1847,1.57,37.43,6.09,6.09,11.4,1763,0.4566,0.5913,0.3478,True,False
England,Marcus Rashford,F M S,"Aston Villa,Manchester United",EPL,5,163,0.7634,6.07,36.44,7.18,4.97,9.39,1435,0.3127,0.2966,0.3079,True,True
England,Mason Mount,F M S,Manchester United,EPL,4,196,0.0835,1.84,33.06,9.18,3.67,19.74,626,0.4226,0.0482,0.287,True,False
England,Anthony Gordon,F M S,Newcastle United,EPL,1,5,0.0,0.0,54.0,18.0,0.0,0.0,2474,0.3346,0.1755,0.2602,True,True
England,Eberechi Eze,F M S,Crystal Palace,EPL,3,104,0.035,1.73,32.88,5.19,6.06,15.58,2635,0.3374,0.2398,0.2545,True,True
England,Phil Foden,F M S,Manchester City,EPL,7,627,0.1096,1.87,53.4,9.33,3.16,16.08,1770,0.3144,0.2737,0.2325,True,False
England,Jarrod Bowen,F M,West Ham,EPL,2,43,0.0,0.0,33.49,4.19,4.19,12.56,2993,0.2952,0.2295,0.2324,True,True
England,Ivan Toney,M S,Real Betis,La_liga,3,49,1.6657,3.67,27.55,7.35,0.0,14.69,1372,0.1825,0.3071,0.2236,True,True
England,Jack Grealish,M S,Manchester City,EPL,5,100,0.5637,0.9,50.4,6.3,7.2,16.2,689,0.166,0.2502,0.1872,True,True
England,Callum Wilson,F S,Newcastle United,EPL,2,58,0.0,0.0,18.62,3.1,4.66,15.52,313,0.2159,0.0543,0.1833,True,True
England,Raheem Sterling,F M S,Arsenal,EPL,3,147,0.1154,0.61,35.51,8.57,3.06,10.41,486,0.1798,0.0998,0.1647,True,True
England,Conor Gallagher,M S,Atletico Madrid,La_liga,5,124,0.0,0.0,39.92,6.53,1.45,25.4,1637,0.165,0.0721,0.1471,True,True
England,Trent Alexander-Arnold,D S,Liverpool,EPL,5,178,0.4592,2.53,63.2,20.22,3.54,9.1,2405,0.0709,0.3015,0.135,True,True
England,Eric Dier,D S,Bayern Munich,Bundesliga,2,38,0.0,0.0,99.47,42.63,4.74,7.11,1454,0.1275,0.0096,0.1323,True,True
England,Harry Maguire,D S,Manchester United,EPL,5,450,0.098,1.2,81.8,34.8,9.4,3.4,1752,0.1203,0.0478,0.1114,True,False
England,John Stones,D S,Manchester City,EPL,12,1154,0.0514,0.39,78.61,27.53,6.86,3.43,539,0.1113,0.014,0.0873,True,False
England,Declan Rice,M S,Arsenal,EPL,12,1138,0.0311,0.71,68.25,18.27,3.8,9.49,2848,0.1146,0.2863,0.0812,True,False
England,Kalvin Phillips,M S,Ipswich,EPL,2,44,0.0,0.0,38.86,10.23,2.05,24.55,1247,0.0331,0.0233,0.075,True,True
England,Ezri Konsa Ngoyo,D S,Aston Villa,EPL,2,93,0.0,0.0,49.35,14.52,1.94,14.52,2934,0.0338,0.0126,0.0709,True,True
England,Marc Guehi,D M,Crystal Palace,EPL,6,585,0.0214,0.31,69.69,21.54,3.54,7.38,3060,0.0871,0.0628,0.0608,True,False
England,Jordan Brian Henderson,,,,4,277,0.0484,0.65,53.94,13.65,3.25,11.37,0,,,0.0484,False,False
England,Kobbie Mainoo,F M S,Manchester United,EPL,6,382,0.059,1.18,47.83,7.54,3.77,11.07,1660,0.0404,0.1109,0.0478,True,False
England,Kieran Trippier,D S,Newcastle United,EPL,9,719,0.0165,0.25,68.6,18.9,1.38,9.14,1311,0.0108,0.124,0.0131,True,False
England,Luke Shaw,D S,Manchester United,EPL,8,618,0.0123,0.44,71.36,20.83,3.64,6.99,352,0.008,0.1433,0.0097,True,False
England,Kyle Walker,D S,AC Milan,Serie_A,10,942,0.0,0.0,70.61,22.83,4.11,7.55,658,0.0048,0.0994,0.0029,True,False
England,Jordan Pickford,GK,Everton,EPL,12,1163,0.0,0.0,36.14,23.68,1.86,0.08,3420,0.0,0.0074,0.0,True,False
France,Randal Kolo Muani,F S,Paris Saint Germain,Ligue_1,8,410,0.5491,1.76,16.68,3.29,3.07,25.46,338,1.1611,0.2748,0.9163,True,False
France,Kylian Mbappé Lottin,F,Real Madrid,La_liga,12,1102,0.6145,4.57,34.14,7.11,7.19,6.29,2938,0.9231,0.2878,0.7997,True,False
France,Ousmane Dembélé,F M S,Paris Saint Germain,Ligue_1,12,813,0.1777,1.88,40.85,7.97,9.85,16.38,1747,0.9549,0.4534,0.644,True,False
France,Olivier Giroud,,,,10,553,0.5196,3.09,14.32,4.23,0.49,11.88,0,,,0.5196,False,False
France,Bradley Barcola,F M S,Paris Saint Germain,Ligue_1,3,113,0.687,2.39,27.08,6.37,11.15,16.73,2223,0.6212,0.4022,0.4723,True,True
France,Marcus Thuram,F S,Inter,Serie_A,9,428,0.2722,2.73,21.03,4.84,5.05,15.14,2316,0.4711,0.1766,0.3915,True,False
France,Kingsley Coman,M S,Bayern Munich,Bundesliga,7,196,0.4001,0.92,36.73,4.59,6.43,19.29,1276,0.2851,0.3004,0.3311,True,False
France,Antoine Griezmann,F M S,Atletico Madrid,La_liga,13,994,0.1825,1.63,47.08,13.58,3.8,18.11,2514,0.3012,0.2906,0.2537,True,False
France,Adrien Rabiot,M S,Marseille,Ligue_1,11,891,0.1,1.21,52.53,13.64,4.65,13.33,2476,0.2648,0.1438,0.1989,True,False
France,Jordan Veretout,M S,Lyon,Ligue_1,1,60,0.0,0.0,52.5,15.0,0.0,13.5,1581,0.1593,0.0771,0.1492,True,True
France,Youssouf Fofana,M S,AC Milan,Serie_A,9,287,0.3048,1.88,44.84,14.11,4.39,23.83,2516,0.0406,0.1261,0.1463,True,False
France,Mattéo Guendouzi Olié,D F M S,Napoli,Serie_A,1,69,0.0,0.0,41.74,9.13,2.61,2.61,2881,0.1139,0.1908,0.1211,True,True
France,Theo Bernard François Hernández,D S,AC Milan,Serie_A,12,1133,0.1021,0.79,57.51,15.33,5.56,9.06,2698,0.1058,0.1783,0.1043,True,False
France,Axel Disasi,D S,"Aston Villa,Chelsea",EPL,2,106,0.0518,0.85,63.68,21.23,2.55,6.79,844,0.0666,0.036,0.0931,True,True
France,Jules Koundé,D S,Barcelona,La_liga,12,1095,0.0842,0.49,58.11,18.58,3.29,9.21,2606,0.0948,0.1428,0.0906,True,False
France,Aurélien Djani Tchouaméni,D M S,Real Madrid,La_liga,12,1133,0.1261,1.51,67.6,23.51,5.16,9.85,2697,0.0607,0.0239,0.0869,True,False
France,Eduardo Camavinga,D M S,Real Madrid,La_liga,6,361,0.0643,0.5,47.62,15.71,1.75,18.7,1079,0.0743,0.0763,0.0703,True,False
France,Benjamin Pavard,D S,Inter,Serie_A,1,89,0.0,0.0,88.99,22.25,2.02,1.01,1581,0.0272,0.0465,0.0673,True,True
France,Dayotchanculle Upamecano,D,Bayern Munich,Bundesliga,11,1091,0.0188,0.25,58.32,21.53,6.35,8.5,1768,0.0955,0.034,0.0648,True,False
France,William Saliba,D,Arsenal,EPL,7,629,0.0163,0.29,57.52,17.31,4.29,7.73,3044,0.0945,0.0222,0.0632,True,False
France,Ibrahima Konaté,D S,Liverpool,EPL,5,313,0.0506,0.58,65.56,25.02,6.61,4.6,2578,0.0648,0.0359,0.0591,True,False
France,Lucas Hernández Pi,GK,Lyon,Ligue_1,1,13,0.0,0.0,69.23,27.69,0.0,6.92,2970,0.0,0.0004,0.0585,True,True
France,Steve Mandanda,GK S,Rennes,Ligue_1,1,96,0.0,0.0,29.06,24.38,0.0,0.0,1490,0.0,0.009,0.0503,True,True
France,Raphaël Varane,,,,6,513,0.0464,0.53,49.12,17.54,7.89,2.81,0,,,0.0464,False,False
France,N'Golo Kanté,,,,6,525,0.0412,0.86,55.37,16.11,5.14,20.4,0,,,0.0412,False,False
France,Hugo Lloris,,,,6,597,0.0,0.0,27.44,23.52,0.75,0.0,0,,,0.0,False,False
France,Mike Maignan,GK,AC Milan,Serie_A,6,585,0.0,0.0,25.38,15.69,1.38,0.15,3296,0.0,0.0143,0.0,True,False
Georgia,Georges Mikautadze,F M S,Lyon,Ligue_1,4,354,0.5148,1.53,18.31,3.81,5.34,15.25,1397,0.7384,0.3428,0.649,True,False
Georgia,Khvicha Kvaratskhelia,F S,Paris Saint Germain,Ligue_1,4,349,0.1424,1.55,22.95,4.64,10.06,11.86,926,0.3857,0.4628,0.2884,True,False
Georgia,Zuriko Davitashvili,F M S,Saint-Etienne,Ligue_1,4,124,0.1201,1.45,28.31,2.9,4.35,23.23,2815,0.2568,0.1812,0.2117,True,True
Georgia,Saba Lobzhanidze,,,,1,12,2.2985,7.5,7.5,0.0,7.5,30.0,0,,,0.2004,False,True
Georgia,Budu Zivzivadze,F S,FC Heidenheim,Bundesliga,2,17,0.303,5.29,15.88,5.29,0.0,21.18,947,0.177,0.2177,0.1682,True,True
Georgia,Giorgi Kvilitaia,,,,1,7,0.0,0.0,38.57,0.0,0.0,0.0,0,,,0.1479,False,True
Georgia,Nika Kvekveskiri,,,,1,13,0.0,0.0,110.77,41.54,6.92,34.62,0,,,0.1462,False,True
Georgia,Sandro Altunashvili,,,,2,57,0.0,0.0,23.68,4.74,3.16,18.95,0,,,0.1346,False,True
Georgia,Luka Lochoshvili,,,,4,170,0.027,0.53,28.06,10.06,2.12,9.0,0,,,0.1188,False,True
Georgia,Otar Kiteishvili,,,,2,133,0.0,0.0,34.51,12.18,0.0,33.16,0,,,0.1185,False,True
Georgia,Giorgi Gvelesiani,,,,3,167,0.0,0.0,21.56,10.78,1.08,2.69,0,,,0.1124,False,True
Georgia,Giorgi Kochorashvili,GK,Valencia,La_liga,4,377,0.1947,1.19,42.02,13.61,2.63,16.71,3060,0.0,0.002,0.0779,True,False
Georgia,Anzor Mekvabishvili,,,,3,191,0.0382,0.94,41.47,9.9,3.3,15.55,0,,,0.0382,False,False
Georgia,Heorhii Tsitaishvili,,,,4,192,0.0338,1.41,31.41,4.69,5.62,5.62,0,,,0.0338,False,False
Georgia,Giorgi Chakvetadze,,,,4,248,0.0283,0.73,34.11,6.9,6.53,22.14,0,,,0.0283,False,False
Georgia,Otar Kakabadze,,,,4,358,0.0033,0.25,43.24,16.09,2.51,10.06,0,,,0.0033,False,False
Georgia,Giorgi Mamardashvili,GK,Valencia,La_liga,4,373,0.0,0.0,29.68,23.65,2.17,0.0,3060,0.0,0.002,0.0,True,False
Georgia,Guram Kashia,,,,4,373,0.0,0.0,28.47,15.68,1.45,4.58,0,,,0.0,False,False
Georgia,Lasha Dvali,,,,4,372,0.0,0.0,34.6,13.31,1.21,7.26,0,,,0.0,False,False
Georgia,Solomon Kverkvelia,,,,3,183,0.0,0.0,30.49,11.8,0.0,7.38,0,,,0.0,False,False
Germany,Kai Havertz,F M S,Arsenal,EPL,7,515,0.8622,4.19,25.69,3.84,3.32,13.28,1880,0.5664,0.1412,0.6847,True,False
Germany,Niclas Füllkrug,F S,West Ham,EPL,8,254,0.9224,6.02,23.39,4.96,1.42,12.4,775,0.2513,0.2419,0.5197,True,False
Germany,Serge Gnabry,F M S,Bayern Munich,Bundesliga,3,270,0.2427,4.0,37.67,4.67,3.0,11.33,1216,0.6194,0.3856,0.4687,True,False
Germany,Jamal Musiala,M S,Bayern Munich,Bundesliga,8,700,0.264,2.7,37.16,7.59,8.74,15.3,1822,0.5459,0.2789,0.4331,True,False
Germany,Deniz Undav,F M S,VfB Stuttgart,Bundesliga,2,10,0.0,0.0,18.0,9.0,0.0,45.0,1733,0.6219,0.2419,0.432,True,True
Germany,Leroy Sané,M S,Bayern Munich,Bundesliga,7,335,0.1251,2.69,33.31,5.91,5.64,13.97,1638,0.5969,0.3364,0.4082,True,False
Germany,Maximilian Beier,F M S,Borussia Dortmund,Bundesliga,1,28,0.0,0.0,22.5,0.0,0.0,9.64,1578,0.5412,0.1831,0.3815,True,True
Germany,Florian Wirtz,F M S,Bayer Leverkusen,Bundesliga,5,292,0.1774,2.47,58.25,10.79,8.32,25.58,2365,0.3826,0.3165,0.3005,True,False
Germany,Thomas Müller,F M S,Bayern Munich,Bundesliga,5,268,0.1704,1.34,33.58,7.39,2.35,20.49,1205,0.3303,0.3058,0.2663,True,False
Germany,Jonas Hofmann,M S,Bayer Leverkusen,Bundesliga,2,40,0.7348,2.25,45.0,6.75,4.5,13.5,354,0.2778,0.1048,0.244,True,True
Germany,Leon Goretzka,M S,Bayern Munich,Bundesliga,3,167,0.2483,2.16,31.8,10.24,1.62,12.4,1303,0.2377,0.1238,0.2125,True,True
Germany,İlkay Gündoğan,M S,Manchester City,EPL,8,577,0.2925,2.03,51.63,14.82,3.59,11.7,2231,0.1382,0.148,0.1999,True,False
Germany,Mario Götze,F M S,Eintracht Frankfurt,Bundesliga,2,53,0.1129,1.7,27.17,8.49,1.7,27.17,1564,0.171,0.2217,0.1612,True,True
Germany,Chris Führich,D M S,VfB Stuttgart,Bundesliga,1,21,0.1158,4.29,60.0,12.86,17.14,38.57,2010,0.1544,0.2348,0.1521,True,True
Germany,Youssoufa Moukoko,,,,1,1,0.0,0.0,180.0,0.0,0.0,0.0,0,,,0.1497,False,True
Germany,Matthias Ginter,D S,Freiburg,Bundesliga,1,6,0.0,0.0,45.0,45.0,15.0,15.0,2549,0.1418,0.0437,0.1444,True,True
Germany,Pascal Groß,D M S,Borussia Dortmund,Bundesliga,1,46,0.0597,1.96,136.96,39.13,5.87,15.65,2364,0.1219,0.2394,0.1301,True,True
Germany,Waldemar Anton,D S,Borussia Dortmund,Bundesliga,2,43,0.0,0.0,46.05,16.74,2.09,10.47,1940,0.0871,0.0519,0.1075,True,True
Germany,Emre Can,D M S,Borussia Dortmund,Bundesliga,4,105,0.0429,0.86,61.71,14.57,0.86,15.43,2084,0.0808,0.0256,0.101,True,True
Germany,Robert Andrich,D M S,Bayer Leverkusen,Bundesliga,5,329,0.0754,1.91,64.01,19.42,0.55,17.78,1616,0.0969,0.0278,0.0883,True,False
Germany,Benjamin Henrichs,D S,RasenBallsport Leipzig,Bundesliga,1,10,0.1672,9.0,45.0,27.0,9.0,0.0,933,0.0391,0.2248,0.0836,True,True
Germany,Thilo Kehrer,D,Monaco,Ligue_1,1,70,0.0,0.0,36.0,15.43,0.0,27.0,2386,0.0489,0.0075,0.082,True,True
Germany,Antonio Rüdiger,D S,Real Madrid,La_liga,8,783,0.0946,1.15,75.4,27.59,3.79,5.29,2291,0.0712,0.0222,0.0806,True,False
Germany,Joshua Kimmich,D M S,Bayern Munich,Bundesliga,8,783,0.0741,1.61,78.39,21.15,5.4,10.0,2843,0.0692,0.3591,0.0712,True,False
Germany,Lukas Klostermann,D S,RasenBallsport Leipzig,Bundesliga,2,80,0.0,0.0,52.88,9.0,2.25,13.5,1832,0.0232,0.0039,0.0656,True,True
Germany,Nico Schlotterbeck,D,Borussia Dortmund,Bundesliga,5,230,0.0272,0.78,82.57,30.52,10.57,7.04,1984,0.0835,0.0828,0.061,True,False
Germany,Maximilian Mittelstädt,D S,VfB Stuttgart,Bundesliga,4,315,0.0415,1.43,63.14,15.14,4.86,9.43,2491,0.0387,0.2003,0.0398,True,False
Germany,Niklas Süle,D S,Borussia Dortmund,Bundesliga,3,285,0.024,0.32,79.58,33.16,6.95,7.58,1071,0.0377,0.0063,0.0322,True,False
Germany,Toni Kroos,,,,5,490,0.0285,0.55,100.1,37.29,4.04,12.12,0,,,0.0285,False,False
Germany,David Raum,D M S,RasenBallsport Leipzig,Bundesliga,6,416,0.0053,0.22,63.82,15.79,6.92,13.41,1797,0.0399,0.3239,0.0261,True,False
Germany,Jonathan Tah,D,Bayer Leverkusen,Bundesliga,4,328,0.0059,0.27,76.01,22.5,4.94,7.68,2970,0.0351,0.0083,0.0234,True,False
Germany,Manuel Neuer,GK,Bayern Munich,Bundesliga,8,763,0.0,0.0,31.38,21.23,1.06,0.0,1980,0.0,0.012,0.0,True,False
Ghana,André Ayew Pelé,,,,3,208,0.549,0.87,16.01,2.16,0.43,13.41,0,,,0.549,False,False
Ghana,Alexander Djiku,F,Newcastle United,EPL,2,102,0.0,0.0,23.82,9.71,0.88,4.41,2822,0.713,0.1738,0.4776,True,True
Ghana,Antoine Semenyo,F M S,Bournemouth,EPL,2,29,0.3732,3.1,9.31,6.21,0.0,27.93,3219,0.4068,0.1848,0.309,True,True
Ghana,Mohammed Kudus,F M S,West Ham,EPL,3,254,0.2334,2.83,29.06,7.09,5.67,17.72,2634,0.2468,0.1275,0.2414,True,False
Ghana,Jordan Ayew,F M S,"Crystal Palace,Leicester",EPL,3,151,0.0426,0.6,26.23,4.77,4.17,20.86,1688,0.2315,0.1016,0.1889,True,True
Ghana,Osman Bukari,,,,2,74,0.2995,3.65,25.54,2.43,3.65,12.16,0,,,0.1693,False,True
Ghana,Abdul Fatawu Issahaku,,,,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0.1497,False,True
Ghana,Denis Odoi,,,,1,22,0.0,0.0,8.18,4.09,0.0,12.27,0,,,0.1437,False,True
Ghana,Daniel-Kofi Kyereh,,,,3,54,0.0,0.0,40.0,11.67,6.67,13.33,0,,,0.1354,False,True
Ghana,Kamaldeen Sulemana,F M S,Southampton,EPL,2,73,0.1001,1.23,24.66,3.7,6.16,12.33,1405,0.1,0.0809,0.1175,True,True
Ghana,Mohamed Salisu,D S,Monaco,Ligue_1,3,296,0.1303,0.61,45.3,24.93,4.56,6.08,1016,0.0985,0.0072,0.1112,True,False
Ghana,Thomas Teye Partey,D M S,Arsenal,EPL,3,292,0.0727,0.62,55.79,22.19,3.08,12.33,2810,0.0766,0.0827,0.075,True,False
Ghana,Tariq Lamptey,D M S,Brighton,EPL,2,109,0.0615,0.83,27.25,9.91,4.95,14.86,870,0.0351,0.0927,0.0747,True,True
Ghana,Gideon Mensah,D S,Auxerre,Ligue_1,1,87,0.0,0.0,46.55,18.62,1.03,9.31,2292,0.0052,0.0758,0.0542,True,True
Ghana,Alidu Seidu,D S,Rennes,Ligue_1,2,162,0.0085,0.56,41.67,13.89,6.11,20.56,809,0.0109,0.0341,0.0527,True,True
Ghana,Iñaki Williams Arthuer,,,,3,270,0.042,0.67,14.67,1.67,2.0,10.67,0,,,0.042,False,False
Ghana,Salis Abdul Samed,,,,3,261,0.0092,0.34,48.97,12.07,2.76,15.17,0,,,0.0092,False,False
Ghana,Abdul Rahman Baba,D S,Angers,Ligue_1,3,209,0.0,0.0,44.35,18.09,3.44,12.06,1504,0.0033,0.0122,0.002,True,False
Ghana,Daniel Amartey,,,,3,286,0.0,0.0,44.06,18.57,3.78,7.24,0,,,0.0,False,False
Ghana,Lawrence Ati-Zigi,,,,3,296,0.0,0.0,23.11,15.81,0.61,0.0,0,,,0.0,False,False
Hungary,Barnabás Varga,,,,3,258,0.3275,1.4,17.79,5.93,0.35,16.74,0,,,0.3275,False,False
Hungary,Roland Sallai,,,,3,286,0.2596,2.52,25.17,6.29,5.35,15.73,0,,,0.2596,False,False
Hungary,Kevin Csoboth,,,,2,21,1.9187,8.57,38.57,17.14,4.29,21.43,0,,,0.2213,False,True
Hungary,Willi Orban,D,RasenBallsport Leipzig,Bundesliga,3,284,0.18,0.95,41.51,15.53,1.9,9.19,2228,0.2115,0.0429,0.1989,True,False
Hungary,Dominik Szoboszlai,F M S,Liverpool,EPL,3,288,0.0686,1.88,48.75,13.12,2.81,21.56,2519,0.2504,0.2808,0.1777,True,False
Hungary,Dániel Gazdag,,,,1,5,0.0,0.0,54.0,0.0,0.0,54.0,0,,,0.1485,False,True
Hungary,Zsolt Nagy,,,,2,30,0.0,0.0,24.0,12.0,3.0,36.0,0,,,0.1415,False,True
Hungary,Attila Szalai,,,,2,101,0.0856,0.89,54.36,26.73,1.78,15.15,0,,,0.1392,False,True
Hungary,László Kleinheisler,,,,3,49,0.0,0.0,31.22,3.67,0.0,33.06,0,,,0.1366,False,True
Hungary,Callum Styles,,,,1,60,0.0,0.0,39.0,12.0,1.5,24.0,0,,,0.1339,False,True
Hungary,Endre Botka,,,,1,98,0.0,0.0,37.65,12.86,0.0,11.02,0,,,0.1254,False,True
Hungary,Ádám Nagy,,,,3,168,0.0155,0.54,37.5,15.0,2.14,18.21,0,,,0.1162,False,True
Hungary,Ádám Lang,M S,Southampton,EPL,1,46,0.0,0.0,37.17,17.61,0.0,9.78,342,0.0401,0.1457,0.079,True,True
Hungary,Martin Ádám,D S,Torino,Serie_A,3,61,0.0,0.0,26.56,4.43,1.48,16.23,1911,0.0411,0.0241,0.0781,True,True
Hungary,Bendegúz Bolla,,,,3,208,0.0366,1.3,29.86,10.38,2.16,19.04,0,,,0.0366,False,False
Hungary,András Schäfer,M S,Union Berlin,Bundesliga,3,290,0.0205,0.62,40.66,12.41,3.72,19.24,1540,0.0387,0.0727,0.0314,True,False
Hungary,Márton Dárdai,,,,3,183,0.0281,0.49,45.25,27.54,2.95,17.7,0,,,0.0281,False,False
Hungary,Milos Kerkez,D,Bournemouth,EPL,3,236,0.0,0.0,30.51,9.15,4.96,11.82,3359,0.0199,0.1317,0.0119,True,False
Hungary,Attila Fiola,,,,2,180,0.0,0.0,34.5,18.0,1.5,13.5,0,,,0.0,False,False
Hungary,Péter Gulácsi,GK,RasenBallsport Leipzig,Bundesliga,3,278,0.0,0.0,30.76,17.48,0.0,0.0,2635,0.0,0.0,0.0,True,False
Iran,Mehdi Taremi,F S,Inter,Serie_A,3,302,0.4107,1.79,24.44,6.26,5.07,18.77,781,0.3832,0.2108,0.3942,True,False
Iran,Mehdi Torabi,F S,Inter,Serie_A,3,80,0.109,2.25,41.62,13.5,6.75,19.12,781,0.3832,0.2108,0.2877,True,True
Iran,Sardar Azmoun,,,,3,131,0.6599,3.44,21.98,6.18,3.44,6.87,0,,,0.2559,False,True
Iran,Saman Ghoddos,,,,1,50,0.7044,1.8,37.8,10.8,1.8,16.2,0,,,0.2004,False,True
Iran,Alireza Jahanbakhsh,,,,2,79,0.1765,3.42,15.95,5.7,2.28,17.09,0,,,0.1536,False,True
Iran,Karim Ansarifard,,,,2,48,0.12,1.88,11.25,1.88,1.88,7.5,0,,,0.1474,False,True
Iran,Abolfazl Jalali,,,,1,27,0.0,0.0,96.67,30.0,16.67,0.0,0,,,0.1423,False,True
Iran,Roozbeh Cheshmi,,,,2,72,0.0409,1.25,17.5,8.75,0.0,6.25,0,,,0.1363,False,True
Iran,Mohammad Hossein Kanani Zadegan,,,,2,51,0.0,0.0,19.41,12.35,1.76,7.06,0,,,0.1361,False,True
Iran,Sadegh Moharrami,,,,1,99,0.0,0.0,23.64,4.55,2.73,15.45,0,,,0.1252,False,True
Iran,Alireza Safar Beiranvand,,,,2,109,0.0,0.0,25.6,18.17,0.83,0.0,0,,,0.1232,False,True
Iran,Ali Karimi,,,,3,130,0.0,0.0,31.15,9.0,0.69,20.77,0,,,0.119,False,True
Iran,Seyed Hossein Hosseini,,,,2,166,0.0,0.0,26.02,23.31,3.25,0.0,0,,,0.1126,False,True
Iran,Ramin Rezaeian,,,,2,201,0.1032,0.9,47.01,25.07,5.37,12.99,0,,,0.1032,False,False
Iran,Morteza Pouraliganji,,,,3,296,0.0817,0.61,38.92,21.28,2.74,8.51,0,,,0.0817,False,False
Iran,Ahmad Nourollahi,,,,3,221,0.0328,2.04,22.4,9.77,3.26,15.07,0,,,0.0328,False,False
Iran,Ehsan Hajsafi,,,,3,245,0.025,0.37,36.0,16.9,2.94,13.22,0,,,0.025,False,False
Iran,Saeid Ezatolahi Afagh,,,,3,230,0.024,1.17,36.0,18.39,1.57,14.87,0,,,0.024,False,False
Iran,Ali Gholizadeh,,,,3,204,0.0189,0.44,32.21,10.15,3.09,12.35,0,,,0.0189,False,False
Iran,Milad Mohammadi,,,,3,206,0.0,0.0,29.71,13.11,3.5,22.28,0,,,0.0,False,False
Iran,Seyed Majid Hosseini,,,,3,292,0.0,0.0,33.9,14.18,2.47,9.55,0,,,0.0,False,False
Italy,Mateo Retegui,F S,Atalanta,Serie_A,4,166,0.1397,2.17,9.22,0.54,0.0,21.69,2435,0.8523,0.2018,0.5704,True,True
